question,answer
['업데이트 도중 제가 꺼버려서 그 뒤로 화면이 안켜져요 이거는 무상수리가 가능한건가요?'],"['업데이트 중 비정상 종료가 되어 나오는 증상 일 수 있습니다.', '충전이 되었다면 어댑터를 분리하고 전원 버튼을 10초 이상 눌러 전원을 완전히 끈 후전원 버튼을 다시 눌러 정상으로 화면이 켜지는지 확인해 보시기 바랍니다.', '강제 종료 시 저장되지 않은 데이터가 손실될 수 있으므로 주의하시기 바랍니다.', 'PC 정상 사용 중에 전원 버튼을 눌러 임의로 전원을 끄면 저장 장치가 손상되거나 시스템에 문제가 발생할 수 있습니다.', '위와 같이 조치한 후에도 동일하다면 엔지니어 점검이 필요해 보입니다.노트북 보증기간은 구입 후 1년 이내로 정상 사용 중 자연 발생한 고장에 대해서는 무상 수리 가능하지만정확한 사항은 점검 후 안내드리고 있는 점 양해 부탁드리며서비스 예약 후 방문해 주시면 엔지니어가 점검 후 자세한 안내 및 조치 도와드리겠습니다.']"
"['티비 모델명이 WEBOS TV LF6310 인데요', '넷플하고 다 되는데 티빙도 깔아지는데왜 틀면 화질이 낮고 영화쪽은 틀어지지 않는데 왜그럴까요?', '같은 티빙 아이디로 삼성티비에서 트니 틀어지는데저 엘지티비는 앱은 깔아지는데..', '아시는 분 계실까요?']",['해당 증상은 WEBOS 2.0 플렛폼에서 일부 영화 컨텐츠 재생이 불가하여컨텐츠사로 검토를 요청하였으나 개선이 어려워 안타깝게도 현재 영화 카테고리가 제외된 것으로 확인됩니다.']
"['예전에는 괜찮았는데 LG GRAM 노트북을 사용한지 3년되었습니다.', '디자인과 학생이라 색상문제가 중요하거든요...', '근데 색상이 이상해요...', '고장난 거 같진 않은데..', '이럴 땐 어떡하죠..?', '해결 방안 글이나혹은 답변좀 알려주세여...', '인디자인 프로그램으로 파랑색을 CMYK로 저장하니까 보라색으로 보이구요', 'CMYK 이미지를 휴대폰으로 보냈을 때에는 파랑으로 보이거든요.', '근데 인쇄업체에서 CMYK로 보냇고 파랑색 맞는데왜 보라로 출력되느지도 몰겟고??CMYK면 기존 작업한 그 색상이어야 하는데 왜 보라인지 모르겟고그리고 이거 외에도노트북 화면 색상이랑휴대폰이랑 다른사람들 컴퓨터로 보기에도 색상이 다릅니다.', '이거 모니터 문제인건가요?', 'LG 수리서비스하는 센터 가야하나요..?', '만약 가야한다면 비용 얼마일까여.. 하 뭐가 문제인지 진짜 중요하거든요', '제발 급해요']","['아래 내용대로 그래픽 드라이버 제거 후 재설치 해보시기 바랍니다.', '1. 시작 버튼에서 마우스 우 클릭장치 관리자 클릭 디스플레이 어댑터 더블 클릭 INTEL 항목 마우스 우 클릭하여 디바이스 제거 팝업창에서 이 장치의 소프트웨어를 삭제합니다', '체크 박스란이 있다면 체크하고 제거입니다.', '2. 재부팅하여 처음 구매할 당시 WINDOWS가 포함된 제품은 LG UPDATE CENTER를 WINDOWS가 포함되지 않은 제품은 LG DNA CENTER PLUS 프로그램을 실행하여 삭제된 그래픽 드라이버를 설치한 후 재부팅하여 확인해 주세요.', '위와 같이 조치해도 동일하면 엔지니어 점검이 필요해 보입니다.', '해당 증상의 원인 파악 및 조치 방법에 대한 안내는 엔지니어가 직접 점검 후 가능하기에서비스 예약 후 방문해 주시면 엔지니어가 점검 후 자세한 안내 및 조치 도와드리겠습니다.', '수리비는 모델에 따른 부품 수리 범위 수리 난이도 등 종합적인 요소를 고려하여 책정되는 부분으로 제품 상태를 확인 후 안내 가능한 점 양해 부탁드립니다.']"
"['엘지 냉장고 야채칸 프레임 탈거 방법 문의드려요', '아래사진 상 빨간 부분을 탈거하려는데 도저히 탈거가 안되네요', '탈거 방법 문의드려요']","['첨부해주신 사진 확인시 표시 부분이 전체로 분리되는 것으로 보여집니다.', '다만 테두리 주변의 이물 및 끈적임이 있으면 쉽게 분리가 되지 않으므로 파손에 주의하여 조심스럽게 들어올려 분리해 주세요.']"
"['LG노트북을 사용하고 있습니다.', '어젯만해도 잘됐습니다.', '근대 오늘부터 노트북 부팅속도가 너무 느리고 D드라이브가 사라졌습니다.', '어떻하면 해결할수 있을까요?']","['문의주신 현상은 시작프로그램의 영향 또는 바이러스에 감염되거나 악성코드가 있는 경우윈도우 손상으로 인하여 속도가 느려지는 현상이 나올 수 있으며 하드웨어 이상으로도속도가 느려질 수 있습니다.', 'PC가 부팅을 하면서 자동으로 시작되는 프로그램들이 있으며 그 프로그램들을 모두 모아 관리하는 곳을 시작프로그램이라고 합니다.', '시작프로그램에 등록 된 프로그램들이 많이 있으면 점점 더 PC 속도가 느려질 수 있습니다.', '사용하지 않거나 빈도가 낮은 프로그램의 실행을 시작프로그램에서 중지하여 속도를 높일 수 있습니다.', 'WINDOWS10에서 시작프로그램 수정 방법을 알고 싶어요']"
"['1월달에 사서 쓰고있는데 날씨가 추우면 온도가22정도밖에 안올라가요', '설정은30인데 몇시간을 켜도 똑같아요', '추울때쓸려고 온풍기를 샀는데 막상 추울땐 온도가 안올라가고 날이 따뜻하면 올라가고 이런 쓰레기 같은 경우가어디있나요', '처믐에 설치하고 AS한번 받았어요', '그땐20도 기사님 날씨가 추워서 그렀다 하셨죠', '추울때 작동잘안돼는 기계를 왜 만드나요', '전기세 싸면 다인가요 추울때 따뜻해야 하는거아닌가요', '어쩌면 좋을까요']","['사용 제품의 타입이 확인되지 않습니다만갑자기 떨어진 기온으로 인해 배관의 온도가 충분히 예열되지 못하면바람이 평소보다 늦게 나오거나 미지근한 바람이 장시간 나오면서 실내 온도가 올라가지 못할 수 있습니다.', '난방 초기에 제품 내부를 따뜻하게 예열하기 위한 준비과정이 필요하며 차가운 냉매로 인해 실외기 결빙을 제거 또는 방지하기 위해 제상 구간이 필요합니다.', '월 1회 필터 청소와 날개를 아래로 조절하여따뜻한 바람이 바닥으로 갈 수 있도록 해주시고일정 시간 제상예열 후 따뜻한 바람이 나온다면 정상이지만오랜시간 희망온도 30도 설정하여도 불편이 지속된다면서비스를 신청하시어 엔지니어의 점검과 상담을 나누어 주시기 바랍니다.']"
"['LG LED TV43LJ5660 인데 컨텐츠 스토어가 없는 기종인가요?', '어디들어가야 컨텐츠 스토어가 있나요급해요']",['LG 콘텐츠 스토어는 스마트 TV에서 지원하는 기능으로해당 모델에서 이용이 어려운 것으로 확인됩니다.']
"['안녕하세요', 'LG 그램 노트북 사용중입니다.', 'USB 탁상용 선풍기를 사용중인데 5개월이상 잘 돌아가다가 갑자기 돌아가는 속도가 느려지면서 멈추는 겁니다.', '처음엔 선풍기가 고장났나 했으나 직장 동료분 노트북에 꽂으니 다시 잘 돌아가서 제 노트북 USB전원 출력 문제임을 알았습니다.', '컴퓨터 설정은 건드린게 아무것도 없는데도 갑자기 잘 돌아가던 선풍기가 멈추니 답답할 노릇입니다.', '항상 충전어댑터에 연결한 상태라 절전모드도 끈 상황이고 다른 USB 포트에도 꽂아보고 다른 USB 연결기기들도 모두 빼고 선풍기 하나만 꽂아보았는데도 여전히 출력이 약한지 골골댑니다.', '다시 USB 전원 출력을 올리려면 어떻게 해야 하나요']","['아래 내용대로 진행해 보시기 바랍니다.', '제어판 오른쪽 위 보기 기준 클릭하여 작은 아이콘 선택 전원 옵션 설정 변경 고급 전원 관리 옵션 설정 변경 USB 설정 USB 선택적 절전 모드 설정 배터리전원 항목 사용 안 함으로 하고 사용해 보시기 바랍니다.', '위와 같이 조치한 후에도 동일하다면 제품 확인 후 조치가 필요한 부분으로서비스 예약 후 방문해 주시면 엔지니어가 점검 후 자세한 안내 및 조치 도와드리겠습니다.']"
"['컴퓨터 전원을 켜면 로고가 뜨고 블루스크린 복구페이지가 뜨는데요', '다른키를 눌러도 계속 이럽니다.', '초기화하고 싶은데 방법이 없나요']","['부팅 시 블루스크린이 뜨는 것은 바이러스 감염 악성 코드 감염 드라이버 오류윈도우 손상 하드웨어 문제 등 여러가지 원인으로 발생할 수 있습니다.', '윈도우가 포함된 제품을 구입사용중이시라면 LG 리커버리 센터에서 공장초기화가 가능합니다.', '리커버리센터는 노트북의 전원을 켜고 F11 키를 연속하여 눌러주시면 진입 가능합니다.', '그러나 F11 키를 눌러도 리커버리센터에 진입되지 않는다면 미포함 제품을 사용중이시거나리커버리 프로그램 또는 하드웨어 손상으로 엔지니어를 통한 조치가 필요합니다.', '서비스 예약 후 방문해 주시면 엔지니어가 점검 후 자세한 안내 및 조치 도와드리겠습니다.']"
"['LG 그램인데 노트북 아랫부분이 살짝 깨지고 갈라졌어요.', '딱히 사용하는데 문제가 있지는 않지만 서비스센터에 가면 수리 비용이 어느 정도로 나올지 그리고 며칠 정도 걸릴지가 궁금합니다.']","['수리비는 모델에 따른 부품 수리 범위 수리 난이도 등 종합적인 요', '소를 고려하여 책정되는 부분으로 엔지니어가 직접 제품 상태를 확인 후 안내 가능한 점 양해 부탁드립니다.', '서비스 기간은 센터에 부품이 있다면 대부분 당일 가능하나 부품이 없다면 주문 후 수리까지 일정 기간 소요되며 부품 유무 및 수리 기간은 제품 점검 후 안내 가능한 부분으로서비스 예약 후 방문해 주시면 엔지니어가 점검 후 자세한 안내 및 조치 도와드리겠습니다.']"
